date,value
1967-11-01,226371.73
1967-12-01,232906.62
1968-01-01,223288.02
1968-02-01,216911.19
1968-03-01,219546.84
1968-04-01,237822.58
1968-05-01,241407.66
1968-06-01,244218.41
1968-07-01,240325.08
1968-08-01,243698.81
1968-09-01,253712.98
1968-10-01,256174.10
1968-11-01,269094.46
1968-12-01,258531.79
1969-01-01,257059.11
1969-02-01,245526.04
1969-03-01,254628.50
1969-04-01,260751.41
1969-05-01,260829.96
1969-06-01,246990.70
1969-07-01,232790.77
1969-08-01,242785.47
1969-09-01,237376.84
1969-10-01,248243.95
1969-11-01,240456.81
1969-12-01,236645.64
1970-01-01,219228.22
1970-02-01,231460.92
1970-03-01,232480.93
1970-04-01,212132.53
1970-05-01,199888.42
1970-06-01,190578.98
1970-07-01,205244.60
1970-08-01,215067.99
1970-09-01,223104.67
1970-10-01,221017.98
1970-11-01,232199.23
1970-12-01,246077.56
