year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1894,4,0.0170000000,0.0040000000,6.565,333.51,258.20,17.4348
1894,5,-0.0336000000,-0.0015000000,6.565,322.32,257.82,16.8088
1894,6,-0.0099000000,0.0073000000,6.565,319.13,259.71,16.6063
1894,7,-0.0170000000,0.0007000000,6.565,313.72,259.89,16.2897
1894,8,0.0123000000,-0.0243000000,6.755,326.77,260.94,16.4578
1894,9,0.0055000000,-0.0067000000,6.850,333.19,262.83,16.5223
1894,10,0.0002000000,0.0282000000,6.660,324.01,262.74,16.5029
1894,11,0.0038000000,0.0094000000,6.660,325.23,265.22,16.5428
1894,12,0.0090000000,0.0174000000,6.565,323.46,265.98,16.6725
1895,1,-0.0079000000,-0.0166000000,6.565,320.92,261.57,16.5244
1895,2,-0.0103000000,0.0532000000,6.565,317.62,275.49,16.3312
1895,3,0.0038000000,0.0107000000,6.565,318.84,278.44,16.3646
1895,4,0.0030000000,-0.0290000000,6.850,333.71,282.12,16.3875
1895,5,0.0439000000,-0.0023000000,6.946,353.20,285.38,17.0804
1895,6,0.0089000000,0.0028000000,7.041,361.24,290.11,17.2074
1895,7,0.0212000000,0.0159000000,6.946,363.91,290.74,17.5460
1895,8,0.0321000000,0.0028000000,6.850,370.44,287.55,18.0741
1895,9,0.0094000000,0.0058000000,6.850,373.91,289.22,18.2003
1895,10,-0.0114000000,-0.0356000000,6.850,369.63,278.93,17.9447
1895,11,-0.0306000000,0.0299000000,6.850,358.34,287.28,17.3430
1895,12,-0.0423000000,0.0122000000,6.755,338.40,286.74,16.5484
1896,1,0.0058000000,-0.0182000000,6.660,335.56,277.54,16.5762
1896,2,0.0605000000,0.0120000000,6.565,350.76,276.85,17.5154
1896,3,-0.0124000000,0.0143000000,6.565,346.40,280.80,17.2324
1896,4,0.0274000000,0.0268000000,6.470,350.73,284.15,17.6437
1896,5,0.0136000000,0.0114000000,6.375,350.28,283.15,17.8283
1896,6,0.0001000000,0.0196000000,6.280,345.08,284.41,17.7776
1896,7,-0.0614000000,-0.0190000000,6.280,323.88,279.00,16.6371
1896,8,-0.0533000000,-0.0178000000,6.280,306.62,274.03,15.7034
1896,9,0.0563000000,0.0308000000,6.280,323.88,282.47,16.5443
1896,10,-0.0042000000,-0.0161000000,6.470,332.29,286.34,16.4389
1896,11,0.0411000000,-0.0034000000,6.660,356.13,293.75,17.0894
1896,12,-0.0333000000,0.0049000000,6.660,344.27,295.19,16.5014
1897,1,0.0328000000,0.0527000000,6.470,345.42,301.87,17.0265
1897,2,-0.0061000000,0.0074000000,6.470,343.32,304.09,16.8940
1897,3,0.0058000000,0.0088000000,6.470,345.31,306.77,16.9580
1897,4,-0.0132000000,0.0233000000,6.375,335.75,309.31,16.6969
1897,5,0.0237000000,0.0081000000,6.280,338.57,307.18,17.0478
1897,6,0.0500000000,0.0164000000,6.280,355.50,312.23,17.8505
1897,7,0.0478000000,0.0127000000,6.280,372.50,316.20,18.6520
1897,8,0.0217000000,-0.0443000000,6.565,397.87,315.93,19.0064
